DWR_9_de_Julio,-35.4439,-60.8846,,,,
DWR_Abra_Pampa,-22.7227,-65.6970,,,,
DWR_Andalgala,-27.6,-66.316667,,,,
DWR_Arias,-33.633333,-62.416667,,,,
DWR_Arroyitos,-31.4192,-63.0509,,,,
DWR_Bahia_Blanca,-38.725151,-62.254951,,,,
DWR_Balcarce,-37.84702,-58.25407,,,,
DWR_Bernasconi,-37.90406,-63.73868,,,,
DWR_B._Mitre,-27.3833,-55.8833,,,,
DWR_Bolivar,-36.2383,-61.2336,,,,
DWR_B._Parada,-34.5430,-58.4868,,,,
DWR_Azul_BA,-36.7750,-59.8540,,,,
DWR_Junin_BA,-34.5885,-60.9496,,,,
DWR_Burruyacu,-26.5,-64.75,,,,
DWR_Cabo_Alarcon,-39.5,-69.1,,,,
DWR_Cabo_Blanco,-47.202,-65.7333,,,,
DWR_Cabo_Raso,-44.3372,-65.2492,,,,
DWR_Caleta_Oliv.,-46.4426,-67.5172,,,,
DWR_Camarones,-44.79332,-65.710808,,,,
DWR_Canada_Verde,-34.8363,-64.5833,,,,
DWR_Capital_Fed.,-34.60903,-58.37322,,,,
DWR_Carcarana,-32.85744,-61.15189,,,,
DWR_Catamarca-Cp,-28.466667,-65.783333,,,,
DWR_Ceres,-29.8817,-61.9461,,,,
DWR_Chaco-La_Sb.,-27.451389,-58.986667,,,,
DWR_Chilecito,-29.166667,-67.5,,,,
DWR_Chivilcoy,-34.8970,-60.0191,,,,
DWR_Choele_Choel,-39.28573,-65.66189,,,,
DWR_Chubut-Mdryn,-42.77151,-65.04027,,,,
Concepcion,-27.333333,-65.583333,,,,
DWR_Concep.-Mis,-55.5217,-27.9806,,,,
DWR_Concep.-Tuc.,-27.3459,-65.5927,,,,
DWR_Concordia,-31.391041,-58.019569,,,,
DWR_Conesa,-40.1112,-64.45421,,,,
DWR_Cordoba-Cap.,-31.416667,-64.183333,,,,
DWR_Coronel_Prg.,-37.9853,-61.3498,,,,
DWR_Corrientes-C,-27.501921,-58.812889,,,,
DWR_C._Rivadavia,-45.864722,-67.480833,,,,
DWR_Curuzu-Cuat.,-29.7868,-58.08739,,,,
DWR_Dique_Sn_Rq,-31.378056,-64.469444,,,,
DWR_Dolores,-36.3152,-57.6753,,,,
DWR_Dos Pozos,-44.5047,-65.6836,,,,
DWR_Delicias_ER,-31.9333,-60.4167,,,,
DWR_Esperanza,-26.19614,-64.239014,,,,
DWR_Esquina,-30.018749,-59.524052,,,,
DWR_Estc_Pereyra,-34.8364,-58.0946,,,,
DWR_Formosa_Arg.,-26.183333,-58.183333,,,,
DWR_Gen_Uriburu,-34.00,-59.166667,,,,
DWR_Gen_Villegas,-35.0326,-63.0148,,,,
DWR_Goya,-29.15477,-59.264938,,,,
DWR_Gualeguay,-33.14972,-59.31069,,,,
DWR_Guamini,-37.0126,-62.4185,,,,
DWR_Humahuaca,-23.2040,-65.3486,,,,
DWR_Jujuy-Cap.,-24.183333,-65.3,,,,
DWR_Junin,-34.588551,-60.949554,,,,
DWR_La_Carlota,-33.417936,-63.293495,,,,
DWR_La_Cautiva,-33.97993,-64.08282,,,,
DWR_La_Cocha,-27.77,-65.585833,,,,
DWR_La_Plata,-34.9205,-57.9536,,,,
DWR_Las_Flores,-36.0142,59.0993,,,,
DWR_Las_Lajas,-38.5239,-70.3640,,,,
DWR_Malaspina,-44.9333,-66.9,,,,
DWR_Mar_dl_Plata,-38.0055,-57.5426,,,,
DWR_Mendoza-Cap.,-32.883333,-68.816667,,,,
DWR_Posadas_Mis.,-27.3621,-55.9009,,,,
DWR_Necochea,-38.5545,-58.7396,,,,
DWR_Arroyitos_Nq,-39.0733,-68.5650,,,,
DWR_Neuquen,-38.9517,-68.0592,,,,
DWR_Pilcaneyen,-38.9525,-68.064167,,,,
DWR_N._Huapi,-40.9256,-71.5151,,,,
DWR_Olavarria,-36.8937,-60.3233,,,,
DWR_Asuncion_Pgy,-25.2637,-57.5759,,,,
DWR_Acha_Pampa,-37.37311,-64.59974,,,,
DWR_Paso_Libres,-29.71423,-57.08752,,,,
DWR_Patagones,-40.79547,-62.96865,,,,
DWR_P._Deseado,-47.75,-65.916667,,,,
DWR_Pico_Salama.,-45.5733,-67.3372,,,,
DWR_Piedra_Agui.,-40.033333,-70.066667,,,,
DWR_Pueblo_Brugo,-31.38794,-60.092,,,,
DWR_Puerto_Mili.,-38.886944,-62.097778,,,,
DWR_Quiaca,-22.1044,-65.5968,,,,
DWR_Quilino,-30.21612,-64.49441,,,,
DWR_Recreo,-29.266667,-65.066667,,,,
DWR_Rio Cuarto,-33.142971,-64.329277,,,,
DWR_Rioja-Cap.,-29.4125,-66.854167,,,,
DWR_Chilecito_Rj,-29.1611,-67.4962,,,,
DWR_Roca_Rio_N.,-41.030556,-62.789722,,,,
DWR_Rio_Cuarto,-33.1232,-64.3493
DWR_Rosario,-32.95924,-60.683479,,,,
DWR_Rosario_dlF.,-25.8,-64.966667,,,,
DWR_Saladillo,-35.6389,59.7795,,,,
DWR_Salta,-24.783333,-65.416667,,,,
DWR_Salta-La_Mcd,-24.9667,-65.4895,,,,
DWR_San_Antonio,-36.293095,-56.777,,,,
DWR_San_Blas,-40.5608,-62.2367,,,,
DWR_San_Carlos,-25.9,-65.933333,,,,
DWR_San_Jorge,-32.3,-66.6,,,,
DWR_San_Juan-Cp.,-31.534167,-68.526111,,,,
